"codigo","descricao","setor","observacao","termos_busca"
"EST 10.35","","PORTA B19","","EST 10.35 PORTA B19"
"EST 12.13","","PORTA B19","","EST 12.13 PORTA B19"
"EST 10.36","","PORTA B19","","EST 10.36 PORTA B19"
"EST 12.21","","PORTA B19","","EST 12.21 PORTA B19"
"EST 10.32","","PORTA B19","","EST 10.32 PORTA B19"
"EST 10.31","","PORTA B19","","EST 10.31 PORTA B19"
"EST 10.63","","PORTA B19","","EST 10.63 PORTA B19"
"EST 10.33","","PORTA B19","","EST 10.33 PORTA B19"
"EST 19.11","","PORTA B19","","EST 19.11 PORTA B19"
"EST 10.29","","PORTA B20","","EST 10.29 PORTA B20"
"EST 10.64","","PORTA B20","","EST 10.64 PORTA B20"
"EST 13.03","","PORTA B20","","EST 13.03 PORTA B20"
"EST 101.102","","PORTA B20","","EST 101.102 PORTA B20"
"EST 10.30","","PORTA B20","","EST 10.30 PORTA B20"
"EST 10.62","","PORTA B20","","EST 10.62 PORTA B20"
"EST 10.88","","PORTA B20","","EST 10.88 PORTA B20"
"EST 10.48","","PORTA B20","","EST 10.48 PORTA B20"
"EST 19.43","ESTEIRAS PARA INJETORA DE SABOR","PORTA B20","","EST 19.43 ESTEIRAS PARA INJETORA DE SABOR PORTA B20"
"EST 15.09","","PORTA B20","","EST 15.09 PORTA B20"
"EST-19.43","TUMBLER","B20","","EST-19.43 TUMBLER B20"
"EST 10.85","","PORTA B21","","EST 10.85 PORTA B21"
"EST 10.49","","PORTA B21","","EST 10.49 PORTA B21"
"EST 10.83","","PORTA B21","","EST 10.83 PORTA B21"
"EST 10.82","","PORTA B21","","EST 10.82 PORTA B21"
"EST 10.51","","PORTA B21","","EST 10.51 PORTA B21"
"EST 10.52","","PORTA B21","","EST 10.52 PORTA B21"
"EST 10.50","","PORTA B21","","EST 10.50 PORTA B21"
"EST 12.57","(EST00.22)","B21","","EST 12.57 (EST00.22) B21"
"EST 12.55","(RESERVADO) ESTEIRAS SISTEMAS DE OSSO PARA CMS","PORTA B21","","EST 12.55 (RESERVADO) ESTEIRAS SISTEMAS DE OSSO PARA CMS PORTA B21"
"EST 19.40","(RESERVADO) ESTEIRAS PARA INJETORA DE SALMOURA","PORTA B21","","EST 19.40 (RESERVADO) ESTEIRAS PARA INJETORA DE SALMOURA PORTA B21"
"EST-19.40","TUMBLER","B21","","EST-19.40 TUMBLER B21"
"EST-19.41","TUMBLER","B22","","EST-19.41 TUMBLER B22"
"EST 10.39","","PORTA B22","","EST 10.39 PORTA B22"
"EST 10.40","","PORTA B22","","EST 10.40 PORTA B22"
"EST 10.45","","PORTA B22","","EST 10.45 PORTA B22"
"EST 10.46","","PORTA B22","","EST 10.46 PORTA B22"
"EST 10.47","","PORTA B22","","EST 10.47 PORTA B22"
"EST 10.84","","PORTA B22","","EST 10.84 PORTA B22"
"EST 12.56","(SISTEMA DE OSSO PARA SMS RESERVADO)","PORTA B22","","EST 12.56 (SISTEMA DE OSSO PARA SMS RESERVADO) PORTA B22"
"EST 19.41","","B22.14","CODIGO DUPLICADO","EST 19.41 B22.14 CODIGO DUPLICADO"
"EST 10.60","","PORTA B23","","EST 10.60 PORTA B23"
"EST 10.87","","PORTA B23","","EST 10.87 PORTA B23"
"EST 10.92","","PORTA B23","","EST 10.92 PORTA B23"
"EST 10.93","","PORTA B23","","EST 10.93 PORTA B23"
"EST 10.68","","PORTA B23","","EST 10.68 PORTA B23"
"EST 10.96","","PORTA B23","","EST 10.96 PORTA B23"
"EST 10.95","","PORTA B23","","EST 10.95 PORTA B23"
"EST 10.76","","PORTA B23","","EST 10.76 PORTA B23"
"EST 22.32","SALMORA","(RESERVADO)PORTA B22","","EST 22.32 SALMORA (RESERVADO)PORTA B22"
"EST 12.58","ESTEIRA SISTEMA DE OSSO PARA CMS","PORTA B23.14","","EST 12.58 ESTEIRA SISTEMA DE OSSO PARA CMS PORTA B23.14"
"EST 12.59","ESTEIRAS SISTEMA DE OSSO PARA CMS","PORTA B23.7","","EST 12.59 ESTEIRAS SISTEMA DE OSSO PARA CMS PORTA B23.7"
"13.20","POSICAO 1","PAINEL SALA CORTES","","13.20 POSICAO 1 PAINEL SALA CORTES"
"13.24","POSICAO 2","PAINEL SALA CORTES","","13.24 POSICAO 2 PAINEL SALA CORTES"
"13.19","POSICAO 2","PAINEL SALA CORTES","","13.19 POSICAO 2 PAINEL SALA CORTES"
"13.21","POSICAO 4","PAINEL SALA CORTES","","13.21 POSICAO 4 PAINEL SALA CORTES"
"13.27","POSICAO 5","PAINEL SALA CORTES","","13.27 POSICAO 5 PAINEL SALA CORTES"
"13.28","POSICAO 6","PAINEL SALA CORTES","","13.28 POSICAO 6 PAINEL SALA CORTES"
"13.29","POSICAO 7","PAINEL SALA CORTES","","13.29 POSICAO 7 PAINEL SALA CORTES"
"13.30","POSICAO 8","PAINEL SALA CORTES","","13.30 POSICAO 8 PAINEL SALA CORTES"
"17.10","POSICAO 9","PAINEL SALA CORTES","","17.10 POSICAO 9 PAINEL SALA CORTES"
"EXT PEL PESC","EXTRATOR DE PELE PESCOCO","PAINEL SALA CORTES","","EXT PEL PESC EXTRATOR DE PELE PESCOCO PAINEL SALA CORTES"
"ACA00.01","ARRANCADOR DE CABECA","PAINEL SALA CORTES","","ACA00.01 ARRANCADOR DE CABECA PAINEL SALA CORTES"
"I01","BOTAO DESLIGA","ABRIDOR DE GAIOLAS","","I01 BOTAO DESLIGA ABRIDOR DE GAIOLAS"
"I02","BOTAO LIGA","ABRIDOR DE GAIOLAS","","I02 BOTAO LIGA ABRIDOR DE GAIOLAS"
"I03","SENSOR 01","ABRIDOR DE GAIOLAS","","I03 SENSOR 01 ABRIDOR DE GAIOLAS"
"I04","SENSOR 02","ABRIDOR DE GAIOLAS","","I04 SENSOR 02 ABRIDOR DE GAIOLAS"
"Q01","VALVULA DE SEGURANCA","ABRIDOR DE GAIOLAS","","Q01 VALVULA DE SEGURANCA ABRIDOR DE GAIOLAS"
"Q03","BOTAO LUMINOSO","ABRIDOR DE GAIOLAS","","Q03 BOTAO LUMINOSO ABRIDOR DE GAIOLAS"
"Q04","VALVULA DE ACIONAMENTO DO ABRIDOR","ABRIDOR DE GAIOLAS","","Q04 VALVULA DE ACIONAMENTO DO ABRIDOR ABRIDOR DE GAIOLAS"
"COT 00-04","CORTINA DE AR PENDURA, SALA INCENSIBLISACAO E SANGRADOR","","","COT 00-04 CORTINA DE AR PENDURA, SALA INCENSIBLISACAO E SANGRADOR"
"6.46","ESTEIRA DEPENAGEM","PORTA A16","","6.46 ESTEIRA DEPENAGEM PORTA A16"
